PATIENT,The letter 's' followed by a randomly-assigned six-digit number.
SATURN_TIME_SIMPLE_ATTENTION_J_ms,"The total time (in ms) spent responding to this item. From the moment it is shown until the patient hits ""next"" with their final answer. (For the simple attention tasks, the patient must select the correct answer to proceed to the next item. A rushed/inattentive patient that wastes time selecting an incorrect answer will likely just lead to an inflation in total time, as that patient would hit ""next"", be informed of his or her error, then have to make the correct selection and hit ""next"" again before continuing. That situation is not tabulated any differently than a slow patient very cautiously and deliberately entering the correct answer on the first try. In both cases, the time between the start of the task and the moment one hits ""next"" with the _final_ _answer_ is prolonged.) For explanations of what this item is, and the reasons the value might be ""NA"", please see the above description of points awarded for this item (the variable name will be similar, except describing ""SCORE"" instead of ""TIME)."
SATURN_TIME_SIMPLE_ATTENTION_FRUIT_ms,"The total time (in ms) spent responding to this item. From the moment it is shown until the patient hits ""next"" with their final answer. (For the simple attention tasks, the patient must select the correct answer to proceed to the next item. A rushed/inattentive patient that wastes time selecting an incorrect answer will likely just lead to an inflation in total time, as that patient would hit ""next"", be informed of his or her error, then have to make the correct selection and hit ""next"" again before continuing. That situation is not tabulated any differently than a slow patient very cautiously and deliberately entering the correct answer on the first try. In both cases, the time between the start of the task and the moment one hits ""next"" with the _final_ _answer_ is prolonged.) For explanations of what this item is, and the reasons the value might be ""NA"", please see the above description of points awarded for this item (the variable name will be similar, except describing ""SCORE"" instead of ""TIME)."
SATURN_TIME_SIMPLE_ATTENTION_1239_ms,"The total time (in ms) spent responding to this item. From the moment it is shown until the patient hits ""next"" with their final answer. (For the simple attention tasks, the patient must select the correct answer to proceed to the next item. A rushed/inattentive patient that wastes time selecting an incorrect answer will likely just lead to an inflation in total time, as that patient would hit ""next"", be informed of his or her error, then have to make the correct selection and hit ""next"" again before continuing. That situation is not tabulated any differently than a slow patient very cautiously and deliberately entering the correct answer on the first try. In both cases, the time between the start of the task and the moment one hits ""next"" with the _final_ _answer_ is prolonged.) For explanations of what this item is, and the reasons the value might be ""NA"", please see the above description of points awarded for this item (the variable name will be similar, except describing ""SCORE"" instead of ""TIME)."
SATURN_TIME_SPATIAL_1_ms,"The total time (in ms) spent responding to this item. From the moment it is shown until the patient hits ""next"" with their final answer. (For the ""SPATIAL_"" tasks, the patient must select the two smaller drawings to proceed to the next item. A patient that selects less (or more) than two answers before hitting ""next"" may therefore have an inflated time, as he or she will then be informed of his or her error, then have to revise the response so that two and only two items are selected, then hit ""next"" again before continuing. That situation is not tabulated any differently than a slow patient very cautiously and deliberately entering the correct answer on the first try. In both cases, the time between the start of the task and the moment one hits ""next"" with the _final_ _answer_ is prolonged.) For explanations of what this item is, and the reasons the value might be ""NA"", please see the above description of points awarded for this item (the variable name will be similar, except describing ""SCORE"" instead of “TIME"")."
SATURN_TIME_SPATIAL_2_ms,"The total time (in ms) spent responding to this item. From the moment it is shown until the patient hits ""next"" with their final answer. (For the ""SPATIAL_"" tasks, the patient must select the two smaller drawings to proceed to the next item. A patient that selects less (or more) than two answers before hitting ""next"" may therefore have an inflated time, as he or she will then be informed of his or her error, then have to revise the response so that two and only two items are selected, then hit ""next"" again before continuing. That situation is not tabulated any differently than a slow patient very cautiously and deliberately entering the correct answer on the first try. In both cases, the time between the start of the task and the moment one hits ""next"" with the _final_ _answer_ is prolonged.) For explanations of what this item is, and the reasons the value might be ""NA"", please see the above description of points awarded for this item (the variable name will be similar, except describing ""SCORE"" instead of “TIME"")."
SATURN_TIME_SPATIAL_3_ms,"The total time (in ms) spent responding to this item. From the moment it is shown until the patient hits ""next"" with their final answer. (For the ""SPATIAL_"" tasks, the patient must select the two smaller drawings to proceed to the next item. A patient that selects less (or more) than two answers before hitting ""next"" may therefore have an inflated time, as he or she will then be informed of his or her error, then have to revise the response so that two and only two items are selected, then hit ""next"" again before continuing. That situation is not tabulated any differently than a slow patient very cautiously and deliberately entering the correct answer on the first try. In both cases, the time between the start of the task and the moment one hits ""next"" with the _final_ _answer_ is prolonged.) For explanations of what this item is, and the reasons the value might be ""NA"", please see the above description of points awarded for this item (the variable name will be similar, except describing ""SCORE"" instead of “TIME"")."
SATURN_TIME_SPATIAL_4_ms,"The total time (in ms) spent responding to this item. From the moment it is shown until the patient hits ""next"" with their final answer. (For the ""SPATIAL_"" tasks, the patient must select the two smaller drawings to proceed to the next item. A patient that selects less (or more) than two answers before hitting ""next"" may therefore have an inflated time, as he or she will then be informed of his or her error, then have to revise the response so that two and only two items are selected, then hit ""next"" again before continuing. That situation is not tabulated any differently than a slow patient very cautiously and deliberately entering the correct answer on the first try. In both cases, the time between the start of the task and the moment one hits ""next"" with the _final_ _answer_ is prolonged.) For explanations of what this item is, and the reasons the value might be ""NA"", please see the above description of points awarded for this item (the variable name will be similar, except describing ""SCORE"" instead of “TIME"")."
SATURN_TIME_ORIENTATION_MONTH_ms,"The total time (in ms) spent responding to this item. From the moment it is shown until the patient hits ""next"" with their final answer. (As with the ""_ATTENTION_"" and ""SPATIAL_"" tasks, I emphasize that this is the time between the start of the task and the moment one hits ""next"" with the _final_ _answer_. Each task has its own rules for what counts as an input adequate enough to proceed to the subsequent task.) For explanations of what this item is, and the reasons the value might be ""NA"", please see the above description of points awarded for this item (the variable name will be similar, except describing ""SCORE"" instead of “TIME"")."
SATURN_TIME_ORIENTATION_YEAR_ms,"The total time (in ms) spent responding to this item. From the moment it is shown until the patient hits ""next"" with their final answer. (As with the ""_ATTENTION_"" and ""SPATIAL_"" tasks, I emphasize that this is the time between the start of the task and the moment one hits ""next"" with the _final_ _answer_. Each task has its own rules for what counts as an input adequate enough to proceed to the subsequent task.) For explanations of what this item is, and the reasons the value might be ""NA"", please see the above description of points awarded for this item (the variable name will be similar, except describing ""SCORE"" instead of “TIME"")."
SATURN_TIME_ORIENTATION_DAY_OF_WEEK_ms,"The total time (in ms) spent responding to this item. From the moment it is shown until the patient hits ""next"" with their final answer. (As with the ""_ATTENTION_"" and ""SPATIAL_"" tasks, I emphasize that this is the time between the start of the task and the moment one hits ""next"" with the _final_ _answer_. Each task has its own rules for what counts as an input adequate enough to proceed to the subsequent task.) For explanations of what this item is, and the reasons the value might be ""NA"", please see the above description of points awarded for this item (the variable name will be similar, except describing ""SCORE"" instead of “TIME"")."
SATURN_TIME_ORIENTATION_STATE_ms,"The total time (in ms) spent responding to this item. From the moment it is shown until the patient hits ""next"" with their final answer. (As with the ""_ATTENTION_"" and ""SPATIAL_"" tasks, I emphasize that this is the time between the start of the task and the moment one hits ""next"" with the _final_ _answer_. Each task has its own rules for what counts as an input adequate enough to proceed to the subsequent task.) For explanations of what this item is, and the reasons the value might be ""NA"", please see the above description of points awarded for this item (the variable name will be similar, except describing ""SCORE"" instead of “TIME"")."
SATURN_TIME_INCIDENTAL_MEMORY_PHRASE_ms,"The total time (in ms) spent responding to this item. From the moment it is shown until the patient hits ""next"" with their final answer. (As with the ""_ATTENTION_"" and ""SPATIAL_"" tasks, I emphasize that this is the time between the start of the task and the moment one hits ""next"" with the _final_ _answer_. Each task has its own rules for what counts as an input adequate enough to proceed to the subsequent task.) For explanations of what this item is, and the reasons the value might be ""NA"", please see the above description of points awarded for this item (the variable name will be similar, except describing ""SCORE"" instead of “TIME"")."
SATURN_TIME_INCIDENTAL_MEMORY_J_ms,"The total time (in ms) spent responding to this item. From the moment it is shown until the patient hits ""next"" with their final answer. (As with the ""_ATTENTION_"" and ""SPATIAL_"" tasks, I emphasize that this is the time between the start of the task and the moment one hits ""next"" with the _final_ _answer_. Each task has its own rules for what counts as an input adequate enough to proceed to the subsequent task.) For explanations of what this item is, and the reasons the value might be ""NA"", please see the above description of points awarded for this item (the variable name will be similar, except describing ""SCORE"" instead of “TIME"")."
SATURN_TIME_INCIDENTAL_MEMORY_NUMBER_ms,"The total time (in ms) spent responding to this item. From the moment it is shown until the patient hits ""next"" with their final answer. (As with the ""_ATTENTION_"" and ""SPATIAL_"" tasks, I emphasize that this is the time between the start of the task and the moment one hits ""next"" with the _final_ _answer_. Each task has its own rules for what counts as an input adequate enough to proceed to the subsequent task.) For explanations of what this item is, and the reasons the value might be ""NA"", please see the above description of points awarded for this item (the variable name will be similar, except describing ""SCORE"" instead of “TIME"")."
SATURN_TIME_RECALL_FIVEWORDS_ms,"The total time (in ms) spent responding to this item. From the moment it is shown until the patient hits ""next"" with their final answer. (As with the ""_ATTENTION_"" and ""SPATIAL_"" tasks, I emphasize that this is the time between the start of the task and the moment one hits ""next"" with the _final_ _answer_. Each task has its own rules for what counts as an input adequate enough to proceed to the subsequent task.) For explanations of what this item is, and the reasons the value might be ""NA"", please see the above description of points awarded for this item (the variable name will be similar, except describing ""SCORE"" instead of “TIME"")."
SATURN_TIME_MATH_ADD_ms,"The total time (in ms) spent responding to this item. From the moment it is shown until the patient hits ""next"" with their final answer. (As with the ""_ATTENTION_"" and ""SPATIAL_"" tasks, I emphasize that this is the time between the start of the task and the moment one hits ""next"" with the _final_ _answer_. Each task has its own rules for what counts as an input adequate enough to proceed to the subsequent task.) For explanations of what this item is, and the reasons the value might be ""NA"", please see the above description of points awarded for this item (the variable name will be similar, except describing ""SCORE"" instead of “TIME"")."
SATURN_TIME_MATH_SUBTRACT_ms,"The total time (in ms) spent responding to this item. From the moment it is shown until the patient hits ""next"" with their final answer. (As with the ""_ATTENTION_"" and ""SPATIAL_"" tasks, I emphasize that this is the time between the start of the task and the moment one hits ""next"" with the _final_ _answer_. Each task has its own rules for what counts as an input adequate enough to proceed to the subsequent task.) For explanations of what this item is, and the reasons the value might be ""NA"", please see the above description of points awarded for this item (the variable name will be similar, except describing ""SCORE"" instead of “TIME"")."
SATURN_TIME_STROOP_MEAN_ms,"The arithmetic mean (in ms) spent responding to the twelve color-word incongruent items. Multiple this figure by twelve to calculate the total time spent (assuming the patient did all twelve tasks). As with every other item, the time spent is tabulated from the moment the stimulus is shown until the patient hits ""next"" with their final answer. For the Stroop items, one is required to input the correct answer before proceeding. Thus, when the stimulus is ""red"" written in green font, if one selects red and then hits ""next"" (s)he will be shown feedback that they erred, and more time will be spent by correctly selecting green and then hitting ""next"", at which time that trial ends and time in ms is tabulated for that trial. As with the ""_ATTENTION_"" and ""SPATIAL_"" tasks, I emphasize that we are measuring the time between the start of the task and the moment one hits ""next"" with the _final_ _answer_. For more information on this task, and the reasons the value might be ""NA"", please see the above description of points awarded for this item (the variable name will be similar, except describing ""SCORE"" instead of “TIME"")."
SATURN_TIME_MINI_TRAILS_A_ms,"The total time (in ms) spent responding to this item. From the moment it is shown until the patient hits ""next"" with their final answer. (As with the ""_ATTENTION_"" and ""SPATIAL_"" tasks, I emphasize that this is the time between the start of the task and the moment one hits ""next"" with the _final_ _answer_. Each task has its own rules for what counts as an input adequate enough to proceed to the subsequent task.) For explanations of what this item is, and the reasons the value might be ""NA"", please see the above description of points awarded for this item (the variable name will be similar, except describing ""SCORE"" instead of “TIME"")."
SATURN_TIME_MINI_TRAILS_B_ms,"The total time (in ms) spent responding to this item. From the moment it is shown until the patient hits ""next"" with their final answer. (As with the ""_ATTENTION_"" and ""SPATIAL_"" tasks, I emphasize that this is the time between the start of the task and the moment one hits ""next"" with the _final_ _answer_. Each task has its own rules for what counts as an input adequate enough to proceed to the subsequent task.) For explanations of what this item is, and the reasons the value might be ""NA"", please see the above description of points awarded for this item (the variable name will be similar, except describing ""SCORE"" instead of “TIME"")."
MoCA_1_TIME_SINCE_INDEX_days,"The number of days that have passed between the index event and the Montreal Cognitive Assessment (MoCA). Version 7.1 was the default in author D.B.'s clinic, but was not universally used. The value here is NA if there were no instances of the MoCA (with at least 89% of possible points scored) within the two-year period spanning +/- 365 days of the index event. If there was more than such use of the MoCA, the one closest in time to the index event (in |days |) is listed as MoCA_1_, and the less-proximal use of the MoCA is listed later as MoCA_2_. Thus, were a MoCA performed 191 days before an index event, and another MoCA were performed 30 days after, the former would be listed under MoCA_2 because |30| < |-191|. "
MoCA_1_ADMINISTERED_BY_DB_1yes_0no,"Was the test administered in author D.B.'s clinic? 1 if yes, 0 if no."
MoCA_1_LANGUAGE,"The most common value for this column is ENGLISH. If administered in another language in D.B.'s clinic, a professional translator was used. "
MoCA_1_TOTAL_SCORE,"The total score on the MoCA. This is the sum of the other scores listed here, and ignores the suggestion to add one if the patient does not have >12 yr of education. If that scoring convention desired (+1 for lower education), it could be reconstructed with the values in the ""YR_EDU"" column. Possible values are integers between 0 and 30, or NA. Especially when the MoCA was administered in another clinic, limited information may be available about item-level performance (next columns) even if the total score is documented."
MoCA_1_POSSIBLE_SCORE,"In general, the total possible score is 30. However, incomplete use of the MoCA was still logged so long as >89% of the possible points were tested/scored. Thus, possible values are integers between 27 and 30, or NA."
MoCA_1_SCORE_trailsB,"The score on the miniature version of the Trails B task on the MoCA. Values are 1 (correct), 0 (incorrect), or NA."
MoCA_1_SCORE_cube,"The score on the drawing task on the MoCA (a cube drawing in version 7.1). Values are 1 (correct), 0 (incorrect), or NA."
MoCA_1_SCORE_clock,"The score on the clock drawing task on the MoCA. Values are integers between 0 and 3, or NA."
MoCA_1_SCORE_naming,"The score on the naming portion of the MoCA. Values are integers between 0 and 3, or NA."
MoCA_1_SCORE_attentiondigits,"The score on the digit span portion of the MoCA. Values are integers between 0 and 2, or NA."
MoCA_1_SCORE_attention_read_letters,"The score on the MoCA task where the patient must tap upon hearing the letter A. Values are integers between 0 and 2, or NA."
MoCA_1_SCORE_serial_sevens,"The score on the MoCA task where the patient must serially subtract sevens (starting at 100, in MoCA version 7.1). Values are integers between 0 and 3, or NA."
MoCA_1_SCORE_repetition,"The score on the portion of the MoCA wherein the patient must repeat two sentences. Values are integers between 0 and 2, or NA."
MoCA_1_SCORE_fluency,"The score on the portion of the MoCA wherein the patient must generate words starting with a specific letter (the letter F in MoCA version 7.1). Values are 1 (named at least 11 unique words, excluding numbers and proper names) or 0 (did not name at least 11), or NA. The total number of words is listed in ""MoCA_1_WORDS_GENERATED"" when available."
MoCA_1_SCORE_abstraction,"The score on the portion of the MoCA wherein the patient must state the abstract category to which two objects belong. Values are integers between 0 and 2, or NA."
MoCA_1_SCORE_recall,"The score on the portion of the MoCA wherein the patient must recall five words without cues. Values are integers between 0 and 5, or NA."
MoCA_1_SCORE_orientation,"The score on the portion of the MoCA wherein the patient must state the month, year, day of the week, date of the month, location, and city. Values are integers between 0 and 6, or NA."
MoCA_1_WORDS_GENERATED,"(See description for column ""MoCA_1_SCORE_fluency"".) Values are integers or NA."
MoCA_1_MIS,"The Memory Index Score from the MoCA. Values are integers between 0 and 15, or NA."
MoCA_2_TIME_SINCE_INDEX_days,"The number of days that have passed between the index event and another use (hence _2_ instead of _1_ in the column name) of the Montreal Cognitive Assessment (MoCA). Version 7.1 was the default in author D.B.'s clinic, but was not universally used. The value here is NA if there were no other/""second"" instances of the MoCA (with at least 89% of possible points scored) within the two-year period spanning +/- 365 days of the index event. If there was more than such use of the MoCA, the one farthest in time to the index event (in |days |) is listed as MoCA_2_."
MoCA_2_ADMINISTERED_BY_DB_1yes_0no,"Was the test administered in author D.B.'s clinic? 1 if yes, 0 if no."
MoCA_2_LANGUAGE,"The most common value for this column is ENGLISH. If administered in another language in D.B.'s clinic, a professional translator was used. "
MoCA_2_TOTAL_SCORE,"The total score on the MoCA. This is the sum of the other scores listed here, and ignores the suggestion to add one if the patient does not have >12 yr of education. If that scoring convention desired (+1 for lower education), it could be reconstructed with the values in the ""YR_EDU"" column. Possible values are integers between 0 and 30, or NA. Especially when the MoCA was administered in another clinic, limited information may be available about item-level performance (next columns) even if the total score is documented."
MoCA_2_POSSIBLE_SCORE,"In general, the total possible score is 30. However, incomplete use of the MoCA was still logged so long as >89% of the possible points were tested/scored. Thus, possible values are integers between 27 and 30, or NA."
MoCA_2_SCORE_trailsB,"The score on the miniature version of the Trails B task on the MoCA. Values are 1 (correct), 0 (incorrect), or NA."
MoCA_2_SCORE_cube,"The score on the drawing task on the MoCA (a cube drawing in version 7.1). Values are 1 (correct), 0 (incorrect), or NA."
MoCA_2_SCORE_clock,"The score on the clock drawing task on the MoCA. Values are integers between 0 and 3, or NA."
MoCA_2_SCORE_naming,"The score on the naming portion of the MoCA. Values are integers between 0 and 3, or NA."
MoCA_2_SCORE_attentiondigits,"The score on the digit span portion of the MoCA. Values are integers between 0 and 2, or NA."
MoCA_2_SCORE_attention_read_letters,"The score on the MoCA task where the patient must tap upon hearing the letter A. Values are integers between 0 and 2, or NA."
MoCA_2_SCORE_serial_sevens,"The score on the MoCA task where the patient must serially subtract sevens (starting at 100, in MoCA version 7.1). Values are integers between 0 and 3, or NA."
MoCA_2_SCORE_repetition,"The score on the portion of the MoCA wherein the patient must repeat two sentences. Values are integers between 0 and 2, or NA."
MoCA_2_SCORE_fluency,"The score on the portion of the MoCA wherein the patient must generate words starting with a specific letter (the letter F in MoCA version 7.1). Values are 1 (named at least 11 unique words, excluding numbers and proper names) or 0 (did not name at least 11), or NA. The total number of words is listed in ""MoCA_1_WORDS_GENERATED"" when available."
MoCA_2_SCORE_abstraction,"The score on the portion of the MoCA wherein the patient must state the abstract category to which two objects belong. Values are integers between 0 and 2, or NA."
MoCA_2_SCORE_recall,"The score on the portion of the MoCA wherein the patient must recall five words without cues. Values are integers between 0 and 5, or NA."
MoCA_2_SCORE_orientation,"The score on the portion of the MoCA wherein the patient must state the month, year, day of the week, date of the month, location, and city. Values are integers between 0 and 6, or NA."
MoCA_2_WORDS_GENERATED,"(See description for column ""MoCA_2_SCORE_fluency"".) Values are integers or NA."
MoCA_2_MIS,"The Memory Index Score from the MoCA. Values are integers between 0 and 15, or NA."
MMSE_1_TIME_SINCE_INDEX_days,"The number of days that have passed between the index event and the Mini Mental State Exam (MMSE). The value here is NA if there were no instances of the MMSE (with at least 89% of possible points scored) within the two-year period spanning +/- 365 days of the index event. If there was more than such use of the MMSE, the one closest in time to the index event (in |days |) is listed as MMSE_1_, and the less-proximal use of the MMSE is listed later as MMSE_2_. Thus, were an MMSE performed 191 days before an index event, and another MMSE were performed 30 days after, the former would be listed under MMSE_2 because |30| < |-191|. "
MMSE_1_ADMINISTERED_BY_DB_1yes_0no,"Was the test administered in author D.B.'s clinic? 1 if yes, 0 if no."
MMSE_1_LANGUAGE,"The most common value for this column is ENGLISH. If administered in another language in D.B.'s clinic, it was common to use a relative in the room as an _ad hoc_ translator, but a professional translator may also have been used. Every mention of the Korean MMSE is based on DOI: 10.1002/gps.930050606, such that ""‘Close your eyes’ was changed to a comprehension test (‘Why do people wash their clothes?’), and ‘Write a sentence’ was changed to a judgement item (‘How can you give an identity card (ID) back to the owner if you find it on the street?’), WORLD was replaced with ?????, and answers are coded in those columns. For all other non-English languages, the standard English version of the MMSE was administered through a translator (professional or ad hoc): MUNDO replaced WORLD for Spanish-language patients, for whom ""CIERRA LOS OJOS"" replaced ""CLOSE YOUR EYES"". It was common to skip one or two items (e.g., repetition) if translating to another language."
MMSE_1_TOTAL_SCORE,"The total score on the MMSE. This is the better of the performance on serial sevens versus WORLD backwards (either is worth up to five points) added to the other scores listed here. Possible values are integers between 0 and 30, or NA. Especially when the MMSE was administered in another clinic, limited information may be available about item-level performance (next columns) even if the total score is documented. In multiple cases, an outside clinic would list a total score for [either] sevens [or] WORLD, but not state which was tested, leading to both columns being occupied by an NA in this spreadsheet, although the total score is unaffected."
MMSE_1_POSSIBLE_SCORE,"In general, the total possible score is 30. However, incomplete use of the MMSE was still logged so long as >89% of the possible points were tested/scored. Thus, possible values are integers between 27 and 30, or NA."
MMSE_1_SCORE_orient_time,"The score on the time orientation portion of the MMSE (year, season, month, date of the month, day of the week; one point for each). Values are integers between 0 and 5, or NA."
MMSE_1_SCORE_orient_place,"The score on the location orientation portion of the MMSE (state, county, city, location, floor of the building; one point for each). Values are integers between 0 and 5, or NA."
MMSE_1_SCORE_register3words,"The score when the patient is asked to repeat a set of three words (with rare exception, author D.B. uses the set ""ball, flag, tree"", or the set ""apple, table, penny""). Values are integers between 0 and 3, or NA."
MMSE_1_SCORE_serial_sevens,"The score when the patient is asked to count down from 100 by 7s. Values are integers between 0 and 5, or NA."
MMSE_1_SCORE_DLROW,"The score when the patient is asked to spell the word WORLD, backwards. When the specific answer was documented (as when administered in D.B.'s clinic), we used the scoring method described in ""Standardized Mini-Mental State Examination A User's Guide"", Molloy, Clarnette (1999)(ISBN 0-9694645-8-4). Values are integers between 0 and 5, or NA."
MMSE_1_SCORE_recall3words,"The score when the patient is asked to recall the previous set of three words. Values are integers between 0 and 3, or NA."
MMSE_1_SCORE_naming,"The score when the patient is asked to name a watch and a pen. Values are integers between 0 and 2, or NA."
MMSE_1_SCORE_repetition,"The score when the patient is asked to repeat ""No ifs, ands, or buts"". Values are integers between 0 and 1, or NA."
MMSE_1_SCORE_three_step_command,"The score when the patient is asked to follow a three-step command (with rare exception, author D.B. uses ""Take this piece of paper in your left hand, fold it, then drop it.""). Values are integers between 0 and 1, or NA."
MMSE_1_SCORE_reading,"The score when the patient is asked to read and act upon ""CLOSE YOUR EYES"". Values are integers between 0 and 1, or NA."
MMSE_1_SCORE_sentence,"The score when the patient is asked to write a sentence. Values are integers between 0 and 1, or NA."
MMSE_1_SCORE_pentagons,"The score when the patient is asked to copy the intersecting pentagons design. Values are integers between 0 and 1, or NA."
MMSE_2_TIME_SINCE_INDEX_days,The number of days that have passed between the index event and another use of the Mini Mental State Exam (MMSE). The value here is NA if there were no second instances of the MMSE (with at least 89% of possible points scored) within the two-year period spanning +/- 365 days of the index event.
MMSE_2_ADMINISTERED_BY_DB_1yes_0no,"Was the test administered in author D.B.'s clinic? 1 if yes, 0 if no."
MMSE_2_LANGUAGE,"The most common value for this column is ENGLISH. If administered in another language in D.B.'s clinic, it was common to use a relative in the room as an _ad hoc_ translator, but a professional translator may also have been used. Every mention of the Korean MMSE is based on DOI: 10.1002/gps.930050606, such that ""‘Close your eyes’ was changed to a comprehension test (‘Why do people wash their clothes?’), and ‘Write a sentence’ was changed to a judgement item (‘How can you give an identity card (ID) back to the owner if you find it on the street?’), WORLD was replaced with ?????, and answers are coded in those columns. For all other non-English languages, the standard English version of the MMSE was administered through a translator (professional or ad hoc): MUNDO replaced WORLD for Spanish-language patients, for whom ""CIERRA LOS OJOS"" replaced ""CLOSE YOUR EYES"". It was common to skip one or two items (e.g., repetition) if translating to another language."
MMSE_2_TOTAL_SCORE,"The total score on the MMSE. This is the better of the performance on serial sevens versus WORLD backwards (either is worth up to five points) added to the other scores listed here. Possible values are integers between 0 and 30, or NA. Especially when the MMSE was administered in another clinic, limited information may be available about item-level performance (next columns) even if the total score is documented. In multiple cases, an outside clinic would list a total score for [either] sevens [or] WORLD, but not state which was tested, leading to both columns being occupied by an NA in this spreadsheet, although the total score is unaffected."
MMSE_2_POSSIBLE_SCORE,"In general, the total possible score is 30. However, incomplete use of the MMSE was still logged so long as >89% of the possible points were tested/scored. Thus, possible values are integers between 27 and 30, or NA."
MMSE_2_SCORE_orient_time,"The score on the time orientation portion of the MMSE (year, season, month, date of the month, day of the week; one point for each). Values are integers between 0 and 5, or NA."
MMSE_2_SCORE_orient_place,"The score on the location orientation portion of the MMSE (state, county, city, location, floor of the building; one point for each). Values are integers between 0 and 5, or NA."
MMSE_2_SCORE_register3words,"The score when the patient is asked to repeat a set of three words (with rare exception, author D.B. uses the set ""ball, flag, tree"", or the set ""apple, table, penny""). Values are integers between 0 and 3, or NA."
MMSE_2_SCORE_serial_sevens,"The score when the patient is asked to count down from 100 by 7s. Values are integers between 0 and 5, or NA."
MMSE_2_SCORE_DLROW,"The score when the patient is asked to spell the word WORLD, backwards. When the specific answer was documented (as when administered in D.B.'s clinic), we used the scoring method described in ""Standardized Mini-Mental State Examination A User's Guide"", Molloy, Clarnette (1999)(ISBN 0-9694645-8-4). Values are integers between 0 and 5, or NA."
MMSE_2_SCORE_recall3words,"The score when the patient is asked to recall the previous set of three words. Values are integers between 0 and 3, or NA."
MMSE_2_SCORE_naming,"The score when the patient is asked to name a watch and a pen. Values are integers between 0 and 2, or NA."
MMSE_2_SCORE_repetition,"The score when the patient is asked to repeat ""No ifs, ands, or buts"". Values are integers between 0 and 1, or NA."
MMSE_2_SCORE_three_step_command,"The score when the patient is asked to follow a three-step command (with rare exception, author D.B. uses ""Take this piece of paper in your left hand, fold it, then drop it.""). Values are integers between 0 and 1, or NA."
MMSE_2_SCORE_reading,"The score when the patient is asked to read and act upon ""CLOSE YOUR EYES"". Values are integers between 0 and 1, or NA."
MMSE_2_SCORE_sentence,"The score when the patient is asked to write a sentence. Values are integers between 0 and 1, or NA."
MMSE_2_SCORE_pentagons,"The score when the patient is asked to copy the intersecting pentagons design. Values are integers between 0 and 1, or NA."
SLUMS_1_TIME_SINCE_INDEX_days,"The number of days that have passed between the index event and the  Saint Louis University Mental Status (SLUMS) exam. The value here is NA if there were no instances of the SLUMS (with at least 89% of possible points scored) within the two-year period spanning +/- 365 days of the index event. If there was more than such use of the SLUMS, the one closest in time to the index event (in |days |) is listed as SLUMS_1_, and the less-proximal use of the SLUMS is listed later as SLUMS_2_. Thus, were a SLUMS performed 191 days before an index event, and another SLUMS were performed 30 days after, the former would be listed under SLUMS_2 because |30| < |-191|. "
SLUMS_1_ADMINISTERED_BY_DB_1yes_0no,"Was the test administered in author D.B.'s clinic? 1 if yes, 0 if no."
SLUMS_1_LANGUAGE,"The most common value for this column is ENGLISH. If administered in another language in D.B.'s clinic, a professional translator was used. "
SLUMS_1_TOTAL_SCORE,"The total score on the SLUMS. Possible values are integers between 0 and 30, or NA. In the few cases where SLUMS was administered in another clinic, there was sometimes incomplete information about item-level performance (next columns) even if the total score was documented."
SLUMS_1_POSSIBLE_SCORE,"In general, the total possible score is 30. However, incomplete use of the SLUMS was still logged so long as >89% of the possible points were tested/scored. Thus, possible values are integers between 27 and 30, or NA."
SLUMS_1_SCORE_day,"If the patient correctly answered the question ""What day of the week is it?"", 1 point. If incorrect, 0 points. If not asked, NA."
SLUMS_1_SCORE_year,"If the patient correctly answered the question ""What is the year?"", 1 point. If incorrect, 0 points. If not asked, NA."
SLUMS_1_SCORE_state,"If the patient correctly answered the question ""What state are we in?"", 1 point. If incorrect, 0 points. If not asked, NA."
SLUMS_1_SCORE_math,"The total score of two math questions ""How much did you spend?"" and ""How much do you have left?"" Cognizant that it may now be more common to encounter apples that cost $3 each, rather than the intended $3 per dozen, that specific type of error on the first item was sometimes corrected (""Actually, it would be $23, since the $3 was for the entire set of apples."") to see if the second item could be answered correctly. "
SLUMS_1_SCORE_animals,The total score -- between 0 and 3 -- when asked to name as many animals as one can in a minute. No points are awarded if fewer than five unique animals are named. One point is awarded if 5-9 unique animals are named. Two points are awarded if 10-14 animals are named. Three points are awarded if at least 15 unique animals are named.
SLUMS_1_SCORE_fivewordrecall,"The number of five previously-heard words (apple, pen, tie, house, car) that were freely recalled without hints/cues. The value for this column is an integer between 0 and 5, or NA."
SLUMS_1_SCORE_digitspan,"The number of correct reverse digit spans; either 0, 1, or 2 (or if the task was not given, NA)."
SLUMS_1_SCORE_clockmarkers,"If the patient places all 12 numbers in ""approximately in the correct position"" (per SLUMS score rules), then the value is 2. If not, the value is 0 (or if the task was not given, NA)."
SLUMS_1_SCORE_clocktime,"If the patient places the hour and minute hands in the correct position -- so that the clock reads approximately 10:50 -- then the value is 2. If not, the value is 0 (or if the task was not given, NA)."
SLUMS_1_SCORE_shapes,"The sum of the two shape-related tasks -- each worth one point -- ""Please place an X in the triangle"" and identifying which of the three shapes is the largest. The value in this column is an integer between 0 and 2 (or if the task was not given, NA)."
SLUMS_1_SCORE_storyrecall,"The sum of points earned when testing scoring recall. Each of the four questions is worth two points. The value in this column is either 8, 6, 4, 2, or 0 (or if the task was not given, NA)."
SLUMS_1_COUNT_animals_named_in_60s,"Where available, the total number of unique animals listed by the patient within 60 seconds."
